index,emojis
😭,2146
😂,741
❤️,353
🤍,273
🙏🏽,244
🫶🏽,244
🥺,211
🤡,182
😔,164
😍,125
💀,111
👍🏽,109
😓,105
💔,89
💗,89
🤲🏽,86
🥰,77
🥲,74
🤢,72
🤮,67
🤩,64
😩,60
💕,55
🤨,52
🤣,50
😡,49
🥹,49
💖,46
💯,41
😐,41
‼️,40
✋🏽,40
✨,37
🫡,36
🫠,33
😘,31
😳,31
🤔,30
😮,29
💓,27
💞,27
💘,26
🥴,21
🗣,20
😎,15
🫣,15
🤪,15
💝,14
👍🏼,14
😬,13
😋,13
👀,12
😢,12
😵‍💫,11
🤞🏽,10
🕯️,10
🏳️,10
😫,9
🇵🇸,9
🙏,9
🛌,8
🤓,8
🪄,7
👍,7
😮‍💨,7
😞,7
🫶,7
✌🏽,7
🤭,7
😆,7
💪🏽,6
⚠️,5
😵,5
🥳,5
❤️‍🩹,5
💐,5
👏🏼,5
😗,5
🤤,5
💅🏽,4
☺️,4
🌹,4
💍,4
😱,4
👉🏼,4
👈🏼,4
😶,4
😀,4
🤝,4
❤,4
🩴,3
👏🏽,3
🖤,3
♥️,3
💛,3
❗,3
💜,3
🤦‍♀️,3
🤠,3
🤧,3
😃,3
😤,3
🤦🏽‍♀️,3
❌,3
😕,3
🥸,3
🤯,3
🧵,3
😁,3
💙,3
😙,2
☹️,2
🤌🏽,2
🙌🏽,2
🙌🏼,2
✋🏼,2
🙆‍♀️,2
🧚🏾‍♀️,2
😚,2
🤲,2
🎉,2
🤞,2
🙅🏽‍♀️,2
🩷,2
🫂,2
📍,2
✍️,2
📄,2
🇮🇱,2
🤏🏽,2
🥱,2
🤏,2
🔴,2
🙃,2
😅,2
😊,2
💫,2
😰,2
💅,2
🧐,2
✍🏽,2
🚶🏽‍♀️,1
🙋🏻‍♀️,1
🕳,1
😄,1
🫢,1
🙉,1
👑,1
❣️,1
🫵🏽,1
🔪,1
❓,1
🙂,1
🏳,1
💥,1
🙊,1
🥒,1
🐙,1
🚓,1
👩🏻‍🎓,1
📈,1
↗️,1
🙏🏼,1
😌,1
🧿,1
🚄,1
😷,1
🚙,1
🙈,1
🔫,1
😈,1
😣,1
💚,1
✌🏼,1
🫨,1
🤬,1
👌🏼,1
💎,1
🇨🇳,1
🇱🇧,1
🇺🇸,1
🙏🏾,1
😻,1
🥁,1
✊,1
📸,1
⭕,1
🙆🏽‍♀️,1
🌈,1
💁🏽‍♀️,1
🌻,1
🇫🇷,1
🏴󠁧󠁢󠁥󠁮󠁧󠁿,1
🇲🇦,1
🙋🏽‍♀️,1
🌼,1
🙏🏻,1
🔎,1
🤏🏼,1
🇧🇪,1
🇪🇬,1
🎶,1
🫵,1
🏝,1
👙,1
👗,1
🪦,1
🧎🏽‍♀️,1
👩‍❤️‍💋‍👩,1
🩹,1
👰,1
⏳,1
👰‍♀️,1
😥,1
🤵‍♂️,1
😖,1
🙄,1
🔍,1
😠,1
🤐,1
🚶‍♀️,1
🦋,1
🫒,1
